Time,Model,Feature Type,Train Accuracy,Train Log Loss,Val Accuracy,Val Log Loss,Test Accuracy,Test Log Loss,Classification Report,Train Time (s),Best Params,Confusion Matrix Path
2024-10-09 03:11:05,FastText,"Word Embeddings, Character n-grams",,,0.8404102367487779,,,,N/A,1.3358752727508545,"{'lr': 0.1, 'epoch': 30, 'wordNgrams': 2, 'dim': 100, 'loss': 'ova'}",
2024-10-09 03:11:07,FastText,"Word Embeddings, Character n-grams",,,0.835042653119908,,,,N/A,2.140394687652588,"{'lr': 0.1, 'epoch': 30, 'wordNgrams': 2, 'dim': 200, 'loss': 'softmax'}",
2024-10-09 03:11:09,FastText,"Word Embeddings, Character n-grams",,,0.8387807917185852,,,,N/A,2.1678626537323,"{'lr': 0.1, 'epoch': 30, 'wordNgrams': 2, 'dim': 200, 'loss': 'ova'}",
2024-10-09 03:11:10,FastText,"Word Embeddings, Character n-grams",,,0.8404102367487779,,,,N/A,1.1927580833435059,"{'lr': 0.1, 'epoch': 30, 'wordNgrams': 3, 'dim': 50, 'loss': 'softmax'}",
2024-10-09 03:11:11,FastText,"Word Embeddings, Character n-grams",,,0.8439566759321384,,,,N/A,1.1761510372161865,"{'lr': 0.1, 'epoch': 30, 'wordNgrams': 3, 'dim': 50, 'loss': 'ova'}",
2024-10-09 03:11:13,FastText,"Word Embeddings, Character n-grams",,,0.8420396817789706,,,,N/A,1.5672338008880615,"{'lr': 0.1, 'epoch': 30, 'wordNgrams': 3, 'dim': 100, 'loss': 'softmax'}",
2024-10-09 03:11:15,FastText,"Word Embeddings, Character n-grams",,,0.8451068724240391,,,,N/A,1.5894620418548584,"{'lr': 0.1, 'epoch': 30, 'wordNgrams': 3, 'dim': 100, 'loss': 'ova'}",
2024-10-09 03:11:17,FastText,"Word Embeddings, Character n-grams",,,0.8400268379181444,,,,N/A,2.485912799835205,"{'lr': 0.1, 'epoch': 30, 'wordNgrams': 3, 'dim': 200, 'loss': 'softmax'}",
2024-10-09 03:11:20,FastText,"Word Embeddings, Character n-grams",,,0.8440525256397968,,,,N/A,2.384488821029663,"{'lr': 0.1, 'epoch': 30, 'wordNgrams': 3, 'dim': 200, 'loss': 'ova'}",
2024-10-09 03:11:21,FastText,"Word Embeddings, Character n-grams",,,0.795169174734017,,,,N/A,1.2263414859771729,"{'lr': 0.1, 'epoch': 50, 'wordNgrams': 1, 'dim': 50, 'loss': 'softmax'}",
